ID,MANUFACTURER,MODEL,CPU_BRAND,CPU_SERIES,CPU_MODEL,CORE_COUNT,CPU_GEN,RAM,GPU_BRAND,GPU,GPU_TECH,GPU_SERIES,VRAM,SCREEN_RESO,SCREEN_SIZE,TYPE,PRICE,STORAGE_TYPE,STORAGE_SIZE,TOTAL_STORAGE,BAT_CAP,IMG_1,IMG_2,IMG_3,MISC,IO,MODEL_DISPLAY,CPU_DISPLAY,GPU_DISPLAY,RAM_DISPLAY,STORAGE_DISPLAY,SCREEN_DISPLAY
0,MSI,Bravo 15,AMD,Ryzen 7,4800H,8,4,16,AMD,RX 5500M,Radeon,55,4,1080p,15,gaming|student|editing|modelling,90000,SSD,512GB,512,51|5,https://i.imgur.com/SfWeEsX.png,https://i.imgur.com/PzvCWsa.png,https://i.imgur.com/cfFza2Z.png,performance|backlight,,MSI Bravo 15,AMD Ryzen 7 4800H 8 core,AMD RX 5500M 4GB,16GB,SSD 512GB,15 inch 1080p
1,MSI,GF75 Thin,Intel,i5,10500H,6,10,8,NVIDIA,GTX 1650,GTX,16,4,1080p,17,gaming|student|modelling,63000,SSD,512GB,512,51|5,https://i.imgur.com/nz95qwz.png,https://i.imgur.com/VdgQW9d.png,https://i.imgur.com/U8T7Zah.png,performance|backlight,,MSI GF75 Thin,Intel i5 10500H 6 core,NVIDIA GTX 1650 4GB,8GB,SSD 512GB,17 inch 1080p
2,MSI,GE66 Raider,Intel,i7,10875H,8,10,32,NVIDIA,RTX 2080,RTX,20,8,1080p,15,gaming|design,250000,SSD,2TB,2000,100|7,https://i.imgur.com/VqK3KHM.png,https://i.imgur.com/419rLPY.png,https://i.imgur.com/BihiRPL.png,performance|rgb|backlight,,MSI GE66 Raider,Intel i7 10875H 8 core,NVIDIA RTX 2080 8GB,32GB,SSD 2TB,15 inch 1080p
3,MSI,Modern 14,Intel,i5,10210U,4,10,8,INTEL,UHD 630,None,None,None,1080p,14,work|student,70000,SSD,512GB,512,12,https://i.imgur.com/106zRGa.png,https://i.imgur.com/ajEszXu.png,https://i.imgur.com/q5PN8bE.png,battery|weight|light,,MSI Modern 14,Intel i5 10210U 4 core,INTEL UHD 630,8GB,SSD 512GB,14 inch 1080p
4,MSI,Modern 14,AMD,Ryzen 5,4500U,6,4,8,INTEL,UHD 630,None,None,None,1080p,14,work|student,60000,SSD,512GB,512,12,https://i.imgur.com/ThAvxkQ.png,https://i.imgur.com/IQu6qaT.png,https://i.imgur.com/3QYLDOv.png,battery|weight|light,,MSI Modern 14,AMD Ryzen 5 4500U 6 core,AMD Vega 6,8GB,SSD 512GB,14 inch 1080p
5,Asus,ROG Strix G17,AMD,Ryzen 9,5900HX,8,5,16,NVIDIA,RTX 3050 ti,RTX,30,4,1080p,17,gaming|student|design|modelling,120000,SSD,1TB,1000,7,https://i.imgur.com/YzC7A0V.png,https://i.imgur.com/Xv1yOHe.png,https://i.imgur.com/V2UIDkt.png,performance,,Asus ROG Strix G17,AMD Ryzen 9 5900HX 8 core,NVIDIA RTX 3050 ti 4GB,16GB,SSD 1TB,17 inch 1080p
6,Asus,VivoBook Ultra 15,AMD,Ryzen 5,4500U,6,4,8,INTEL,UHD 630,None,None,None,1080p,15,work|student,55000,SSD,512GB,512,12,https://i.imgur.com/DzkJQXJ.png,https://i.imgur.com/lTivolW.png,https://i.imgur.com/affpIIY.png,battery|weight|light,,Asus VivoBook Ultra 15,AMD Ryzen 5 4500U 6 core,AMD Vega 6,8GB,SSD 512GB,15 inch 1080p
7,Asus,VivoBook Flip 14,AMD,Ryzen 5,4500H,6,4,8,INTEL,UHD 630,None,None,None,1080p,14,work|student|design,60000,SSD,256GB,256,12,https://i.imgur.com/dnMLWkl.png,https://i.imgur.com/woxZ2ds.png,https://i.imgur.com/WPh0cuy.png,2 in 1|convertible,,Asus VivoBook Flip 14,AMD Ryzen 5 4500H 6 core,AMD Vega 6,8GB,SSD 256GB,14 inch 1080p
8,Asus,VivoBook 15,AMD,Ryzen 3,3250U,4,3,8,INTEL,UHD 630,None,None,None,1080p,14,work|student,31000,HDD,1TB,1000,37|6,https://i.imgur.com/v0oBveV.png,https://i.imgur.com/1Id4CRG.png,https://i.imgur.com/r2NFve0.png,weight,,Asus VivoBook 15,AMD Ryzen 3 3250U 4 core,AMD Vega 6,8GB,HDD 1TB,14 inch 1080p
9,Asus,ROG Zephyrus G14 (2021),AMD,Ryzen 7,5800HS,8,5,8,NVIDIA,RTX 3050,RTX,30,4,1080p,14,gaming|student|design,115000,SSD,1TB,1000,76|12,https://i.imgur.com/3BjgF4b.png,https://i.imgur.com/o4lEKVu.png,https://i.imgur.com/9SJO6e1.png,performance|backlight|anime display|light|weight,,Asus ROG Zephyrus G14 (2021),AMD Ryzen 7 5800HS 8 core,NVIDIA RTX 3050 4GB,8GB,SSD 1TB,14 inch 1080p
10,Dell,XPS 13,Intel,i5,10210U,4,10,8,INTEL,UHD 630,None,None,None,1080p,13,work|student,108990,SSD,512GB,512,90|14,https://i.imgur.com/dXPcGJO.png,https://i.imgur.com/K8iQiau.png,https://i.imgur.com/jKLypbI.png,,,Dell XPS 13,Intel i5 10210U 4 core,INTEL UHD 630,8GB,SSD 512GB,13 inch 1080p
11,Dell,G3 3500,Intel,i5,10300H,4,10,8,NVIDIA,GTX 1650,GTX,16,4,1080p,15,gaming|student|modeling,75000,HDD|SSD,1.25TB,1250,51|10,https://i.imgur.com/FquoXnZ.png,https://i.imgur.com/68dfodQ.png,https://i.imgur.com/sWUmNVa.png,performance|backlight,,Dell G3 3500,Intel i5 10300H 4 core,NVIDIA GTX 1650 4GB,8GB,HDD|SSD 1.25TB,15 inch 1080p
12,Dell,G15,Intel,i5,10200H,4,10,16,NVIDIA,GTX 3050,GTX,30,4,1080p,15,gaming|student|modeling,85000,SSD,512GB,512,56|3,https://i.imgur.com/4MdaCZR.png,https://i.imgur.com/lXTFdJl.png,https://i.imgur.com/FLWLp8p.png,performance|backlight,USB 3.2 Gen 1,Dell G15,Intel i5 10200H 4 core,NVIDIA GTX 3050 4GB,16GB,SSD 512GB,15 inch 1080p
13,Dell,Latitude 15,Intel,i3,1125G4,4,11,4,INTEL,UHD 630,None,None,None,1080,15,work,80000,HDD|SSD,1.25TB,1250,37|6,https://i.imgur.com/AeWvzw9.png,https://i.imgur.com/O31ZiS3.png,https://i.imgur.com/aNVSYCM.png,,,Dell Latitude 15,Intel i3 1125G4 4 core,INTEL UHD630,4GB,HDD|SSD 1.25TB,15 inch 1080
14,Dell,Vostro 15,Intel,i5,1135G7,4,11,8,NVIDIA,MX330,MX,33,2,1080,15,work,64990,HDD|SSD,1.25TB,1250,42|8,https://i.imgur.com/ZzVrC6l.png,https://i.imgur.com/2n4OlEy.png,https://i.imgur.com/QSSEBuJ.png,,,Dell Vostro 15,Intel i5 1135G7 4 core,NVIDIA MX330 2GB,8GB,HDD|SSD 1.25TB,15 inch 1080
15,Apple,Macbook Air,Apple,M1,M1,8,1,8,Apple,None,None,None,2,4k,13,student|work|design|modeling,92900,SSD,256,256,51|16,https://i.imgur.com/h2mTFY5.png,https://i.imgur.com/vOYVH1w.png,https://i.imgur.com/DWK6oTW.png,,Thunderbolt 3|DisplayPort|USB 4 ,Apple Macbook Air,Apple M1 M1 8 core,Apple None 2GB,8GB,SSD 256,13 inch 4k
